episode,steps,total_reward,success
956,200,-200.0,False
957,2,999.0,True
958,200,-200.0,False
959,200,-200.0,False
960,200,-200.0,False
961,200,-200.0,False
962,200,-200.0,False
963,200,-200.0,False
964,200,-200.0,False
965,200,-200.0,False
966,200,-200.0,False
967,200,-200.0,False
968,200,-200.0,False
969,200,-200.0,False
970,200,-200.0,False
971,200,-200.0,False
972,4,997.0,True
973,200,-200.0,False
974,200,-200.0,False
975,2,999.0,True
976,200,-200.0,False
977,200,-200.0,False
978,14,987.0,True
979,200,-200.0,False
980,200,-200.0,False
981,200,-200.0,False
982,200,-200.0,False
983,200,-200.0,False
984,6,995.0,True
985,200,-200.0,False
986,200,-200.0,False
987,6,995.0,True
988,200,-200.0,False
989,200,-200.0,False
990,200,-200.0,False
991,200,-200.0,False
992,200,-200.0,False
993,200,-200.0,False
994,200,-200.0,False
995,200,-200.0,False
996,200,-200.0,False
997,10,991.0,True
998,200,-200.0,False
999,200,-200.0,False
1000,200,-200.0,False
1001,200,-200.0,False
1002,200,-200.0,False
1003,200,-200.0,False
1004,200,-200.0,False
1005,200,-200.0,False
1006,18,983.0,True
1007,10,991.0,True
1008,200,-200.0,False
1009,200,-200.0,False
1010,200,-200.0,False
1011,200,-200.0,False
1012,200,-200.0,False
1013,200,-200.0,False
1014,200,-200.0,False
1015,200,-200.0,False
1016,200,-200.0,False
1017,2,999.0,True
1018,200,-200.0,False
1019,200,-200.0,False
1020,4,997.0,True
1021,200,-200.0,False
1022,200,-200.0,False
1023,200,-200.0,False
1024,200,-200.0,False
1025,200,-200.0,False
1026,200,-200.0,False
1027,20,981.0,True
1028,200,-200.0,False
1029,200,-200.0,False
1030,200,-200.0,False
1031,200,-200.0,False
1032,200,-200.0,False
1033,200,-200.0,False
1034,200,-200.0,False
1035,200,-200.0,False
1036,200,-200.0,False
1037,4,997.0,True
1038,200,-200.0,False
1039,200,-200.0,False
1040,200,-200.0,False
1041,200,-200.0,False
1042,200,-200.0,False
1043,12,989.0,True
1044,4,997.0,True
1045,200,-200.0,False
1046,200,-200.0,False
1047,200,-200.0,False
1048,200,-200.0,False
1049,200,-200.0,False
1050,200,-200.0,False
1051,200,-200.0,False
1052,200,-200.0,False
1053,200,-200.0,False
1054,200,-200.0,False
1055,200,-200.0,False
1056,200,-200.0,False
1057,200,-200.0,False
1058,200,-200.0,False
1059,200,-200.0,False
1060,200,-200.0,False
1061,200,-200.0,False
1062,6,995.0,True
1063,200,-200.0,False
1064,200,-200.0,False
1065,4,997.0,True
1066,200,-200.0,False
1067,200,-200.0,False
1068,2,999.0,True
1069,200,-200.0,False
1070,200,-200.0,False
1071,200,-200.0,False
1072,200,-200.0,False
1073,200,-200.0,False
1074,200,-200.0,False
1075,200,-200.0,False
1076,200,-200.0,False
1077,200,-200.0,False
1078,6,995.0,True
1079,200,-200.0,False
1080,10,991.0,True
1081,200,-200.0,False
1082,200,-200.0,False
1083,8,993.0,True
1084,200,-200.0,False
1085,200,-200.0,False
1086,200,-200.0,False
1087,2,999.0,True
1088,200,-200.0,False
1089,200,-200.0,False
1090,18,983.0,True
1091,200,-200.0,False
1092,4,997.0,True
1093,200,-200.0,False
1094,200,-200.0,False
1095,200,-200.0,False
1096,200,-200.0,False
1097,200,-200.0,False
1098,200,-200.0,False
1099,200,-200.0,False
1100,200,-200.0,False
1101,200,-200.0,False
1102,200,-200.0,False
1103,200,-200.0,False
1104,200,-200.0,False
1105,200,-200.0,False
1106,200,-200.0,False
1107,200,-200.0,False
1108,200,-200.0,False
1109,4,997.0,True
1110,200,-200.0,False
1111,26,975.0,True
1112,200,-200.0,False
1113,200,-200.0,False
1114,200,-200.0,False
